sample_index,sample_path,target,prob_1,argmax_prediction,threshold_prediction
0,/data/wyb/pneumoniamnist_imagefolder_subset/val/0/00003.png,0,0.4687192738056183,0,0
1,/data/wyb/pneumoniamnist_imagefolder_subset/val/0/00007.png,0,0.5520673990249634,1,1
2,/data/wyb/pneumoniamnist_imagefolder_subset/val/0/00011.png,0,0.5039852857589722,1,1
3,/data/wyb/pneumoniamnist_imagefolder_subset/val/0/00014.png,0,0.6728198528289795,1,1
4,/data/wyb/pneumoniamnist_imagefolder_subset/val/0/00022.png,0,0.603768527507782,1,1
5,/data/wyb/pneumoniamnist_imagefolder_subset/val/0/00028.png,0,0.483573317527771,0,0
6,/data/wyb/pneumoniamnist_imagefolder_subset/val/0/00030.png,0,0.5178388953208923,1,1
7,/data/wyb/pneumoniamnist_imagefolder_subset/val/0/00031.png,0,0.5801368355751038,1,1
8,/data/wyb/pneumoniamnist_imagefolder_subset/val/0/00033.png,0,0.5763514041900635,1,1
9,/data/wyb/pneumoniamnist_imagefolder_subset/val/0/00035.png,0,0.4984244406223297,0,0
10,/data/wyb/pneumoniamnist_imagefolder_subset/val/0/00037.png,0,0.5879203677177429,1,1
11,/data/wyb/pneumoniamnist_imagefolder_subset/val/0/00038.png,0,0.531086802482605,1,1
12,/data/wyb/pneumoniamnist_imagefolder_subset/val/0/00040.png,0,0.4848441481590271,0,0
13,/data/wyb/pneumoniamnist_imagefolder_subset/val/0/00045.png,0,0.4245089888572693,0,0
14,/data/wyb/pneumoniamnist_imagefolder_subset/val/0/00046.png,0,0.59371417760849,1,1
15,/data/wyb/pneumoniamnist_imagefolder_subset/val/0/00049.png,0,0.5711023211479187,1,1
16,/data/wyb/pneumoniamnist_imagefolder_subset/val/0/00052.png,0,0.44473734498023987,0,0
17,/data/wyb/pneumoniamnist_imagefolder_subset/val/0/00055.png,0,0.5000043511390686,1,0
18,/data/wyb/pneumoniamnist_imagefolder_subset/val/0/00069.png,0,0.5487603545188904,1,1
19,/data/wyb/pneumoniamnist_imagefolder_subset/val/0/00072.png,0,0.5627579689025879,1,1
20,/data/wyb/pneumoniamnist_imagefolder_subset/val/0/00074.png,0,0.5505235195159912,1,1
21,/data/wyb/pneumoniamnist_imagefolder_subset/val/0/00081.png,0,0.5234177112579346,1,1
22,/data/wyb/pneumoniamnist_imagefolder_subset/val/0/00083.png,0,0.5331612825393677,1,1
23,/data/wyb/pneumoniamnist_imagefolder_subset/val/0/00090.png,0,0.48381879925727844,0,0
24,/data/wyb/pneumoniamnist_imagefolder_subset/val/0/00093.png,0,0.5281577706336975,1,1
25,/data/wyb/pneumoniamnist_imagefolder_subset/val/0/00106.png,0,0.4875132143497467,0,0
26,/data/wyb/pneumoniamnist_imagefolder_subset/val/0/00114.png,0,0.6504951119422913,1,1
27,/data/wyb/pneumoniamnist_imagefolder_subset/val/0/00118.png,0,0.5286604762077332,1,1
28,/data/wyb/pneumoniamnist_imagefolder_subset/val/0/00124.png,0,0.533189058303833,1,1
29,/data/wyb/pneumoniamnist_imagefolder_subset/val/0/00130.png,0,0.6218576431274414,1,1
30,/data/wyb/pneumoniamnist_imagefolder_subset/val/0/00131.png,0,0.6004325151443481,1,1
31,/data/wyb/pneumoniamnist_imagefolder_subset/val/0/00132.png,0,0.48422443866729736,0,0
32,/data/wyb/pneumoniamnist_imagefolder_subset/val/0/00135.png,0,0.5418369770050049,1,1
33,/data/wyb/pneumoniamnist_imagefolder_subset/val/0/00147.png,0,0.569746732711792,1,1
34,/data/wyb/pneumoniamnist_imagefolder_subset/val/0/00151.png,0,0.5225594639778137,1,1
35,/data/wyb/pneumoniamnist_imagefolder_subset/val/0/00155.png,0,0.6009296774864197,1,1
36,/data/wyb/pneumoniamnist_imagefolder_subset/val/0/00157.png,0,0.6285613179206848,1,1
37,/data/wyb/pneumoniamnist_imagefolder_subset/val/0/00159.png,0,0.4966524839401245,0,0
38,/data/wyb/pneumoniamnist_imagefolder_subset/val/0/00164.png,0,0.5580266118049622,1,1
39,/data/wyb/pneumoniamnist_imagefolder_subset/val/0/00168.png,0,0.679075300693512,1,1
40,/data/wyb/pneumoniamnist_imagefolder_subset/val/0/00171.png,0,0.4409783184528351,0,0
41,/data/wyb/pneumoniamnist_imagefolder_subset/val/0/00173.png,0,0.5396363139152527,1,1
42,/data/wyb/pneumoniamnist_imagefolder_subset/val/0/00174.png,0,0.6249356865882874,1,1
43,/data/wyb/pneumoniamnist_imagefolder_subset/val/0/00177.png,0,0.6395531296730042,1,1
44,/data/wyb/pneumoniamnist_imagefolder_subset/val/0/00185.png,0,0.5348580479621887,1,1
45,/data/wyb/pneumoniamnist_imagefolder_subset/val/0/00189.png,0,0.42318737506866455,0,0
46,/data/wyb/pneumoniamnist_imagefolder_subset/val/0/00190.png,0,0.6052079796791077,1,1
47,/data/wyb/pneumoniamnist_imagefolder_subset/val/0/00192.png,0,0.5759159326553345,1,1
48,/data/wyb/pneumoniamnist_imagefolder_subset/val/0/00193.png,0,0.594504714012146,1,1
49,/data/wyb/pneumoniamnist_imagefolder_subset/val/0/00198.png,0,0.48703011870384216,0,0
50,/data/wyb/pneumoniamnist_imagefolder_subset/val/0/00199.png,0,0.6688303351402283,1,1
51,/data/wyb/pneumoniamnist_imagefolder_subset/val/0/00201.png,0,0.4996050298213959,0,0
52,/data/wyb/pneumoniamnist_imagefolder_subset/val/0/00202.png,0,0.5785754323005676,1,1
53,/data/wyb/pneumoniamnist_imagefolder_subset/val/0/00203.png,0,0.4738006889820099,0,0
54,/data/wyb/pneumoniamnist_imagefolder_subset/val/0/00204.png,0,0.5800629258155823,1,1
55,/data/wyb/pneumoniamnist_imagefolder_subset/val/0/00205.png,0,0.5251932144165039,1,1
56,/data/wyb/pneumoniamnist_imagefolder_subset/val/0/00210.png,0,0.5470843315124512,1,1
57,/data/wyb/pneumoniamnist_imagefolder_subset/val/0/00215.png,0,0.6069447994232178,1,1
58,/data/wyb/pneumoniamnist_imagefolder_subset/val/0/00217.png,0,0.6300361156463623,1,1
59,/data/wyb/pneumoniamnist_imagefolder_subset/val/0/00219.png,0,0.559861421585083,1,1
60,/data/wyb/pneumoniamnist_imagefolder_subset/val/0/00220.png,0,0.5931792259216309,1,1
61,/data/wyb/pneumoniamnist_imagefolder_subset/val/0/00223.png,0,0.6304356455802917,1,1
62,/data/wyb/pneumoniamnist_imagefolder_subset/val/0/00226.png,0,0.5317820906639099,1,1
63,/data/wyb/pneumoniamnist_imagefolder_subset/val/0/00227.png,0,0.583339273929596,1,1
64,/data/wyb/pneumoniamnist_imagefolder_subset/val/0/00233.png,0,0.6149730682373047,1,1
65,/data/wyb/pneumoniamnist_imagefolder_subset/val/0/00235.png,0,0.6207200288772583,1,1
66,/data/wyb/pneumoniamnist_imagefolder_subset/val/0/00237.png,0,0.5795724987983704,1,1
67,/data/wyb/pneumoniamnist_imagefolder_subset/val/0/00248.png,0,0.45929792523384094,0,0
68,/data/wyb/pneumoniamnist_imagefolder_subset/val/0/00251.png,0,0.5135782957077026,1,1
69,/data/wyb/pneumoniamnist_imagefolder_subset/val/0/00252.png,0,0.6027082800865173,1,1
70,/data/wyb/pneumoniamnist_imagefolder_subset/val/0/00254.png,0,0.6442893743515015,1,1
71,/data/wyb/pneumoniamnist_imagefolder_subset/val/0/00259.png,0,0.557879626750946,1,1
72,/data/wyb/pneumoniamnist_imagefolder_subset/val/0/00281.png,0,0.480438232421875,0,0
73,/data/wyb/pneumoniamnist_imagefolder_subset/val/0/00284.png,0,0.6229733824729919,1,1
74,/data/wyb/pneumoniamnist_imagefolder_subset/val/0/00287.png,0,0.5998300909996033,1,1
75,/data/wyb/pneumoniamnist_imagefolder_subset/val/0/00288.png,0,0.648053765296936,1,1
76,/data/wyb/pneumoniamnist_imagefolder_subset/val/0/00293.png,0,0.49186068773269653,0,0
77,/data/wyb/pneumoniamnist_imagefolder_subset/val/0/00295.png,0,0.4987957775592804,0,0
78,/data/wyb/pneumoniamnist_imagefolder_subset/val/0/00296.png,0,0.5173308253288269,1,1
79,/data/wyb/pneumoniamnist_imagefolder_subset/val/0/00298.png,0,0.4991295337677002,0,0
80,/data/wyb/pneumoniamnist_imagefolder_subset/val/0/00299.png,0,0.4880175292491913,0,0
81,/data/wyb/pneumoniamnist_imagefolder_subset/val/0/00311.png,0,0.6153656840324402,1,1
82,/data/wyb/pneumoniamnist_imagefolder_subset/val/0/00312.png,0,0.6103311777114868,1,1
83,/data/wyb/pneumoniamnist_imagefolder_subset/val/0/00326.png,0,0.634040892124176,1,1
84,/data/wyb/pneumoniamnist_imagefolder_subset/val/0/00329.png,0,0.4637671113014221,0,0
85,/data/wyb/pneumoniamnist_imagefolder_subset/val/0/00334.png,0,0.5358321070671082,1,1
