sample_index,sample_path,target,plaintext_logit_0,plaintext_logit_1,secure_logit_0,secure_logit_1,plaintext_prob_0,plaintext_prob_1,secure_prob_0,secure_prob_1,logit_0_abs_diff,logit_1_abs_diff,prob_0_abs_diff,prob_1_abs_diff,plaintext_argmax,secure_argmax,plaintext_threshold_pred,secure_threshold_pred
0,/data/wyb/pneumoniamnist_imagefolder_subset/val/0/00003.png,0,0.03933867812156677,0.22443510591983795,0.03933867812156677,0.22443510591983795,0.45385757088661194,0.5461424589157104,0.45385757088661194,0.5461424589157104,0.0,0.0,0.0,0.0,1,1,1,1
1,/data/wyb/pneumoniamnist_imagefolder_subset/val/0/00007.png,0,-0.1226007416844368,0.3604905307292938,-0.1226007416844368,0.3604905307292938,0.38152244687080383,0.6184775829315186,0.38152244687080383,0.6184775829315186,0.0,0.0,0.0,0.0,1,1,1,1
2,/data/wyb/pneumoniamnist_imagefolder_subset/val/0/00011.png,0,0.05448586493730545,0.2085808962583542,0.05448586493730545,0.2085808962583542,0.4615522623062134,0.5384476780891418,0.4615522623062134,0.5384476780891418,0.0,0.0,0.0,0.0,1,1,1,1
3,/data/wyb/pneumoniamnist_imagefolder_subset/val/0/00014.png,0,-0.1526804268360138,0.38303712010383606,-0.1526804268360138,0.38303712010383606,0.36918434500694275,0.6308156251907349,0.36918434500694275,0.6308156251907349,0.0,0.0,0.0,0.0,1,1,1,1
4,/data/wyb/pneumoniamnist_imagefolder_subset/val/0/00022.png,0,0.06595650315284729,0.20041948556900024,0.06595650315284729,0.20041948556900024,0.4664348363876343,0.5335652232170105,0.4664348363876343,0.5335652232170105,0.0,0.0,0.0,0.0,1,1,1,1
5,/data/wyb/pneumoniamnist_imagefolder_subset/val/0/00028.png,0,0.16187748312950134,0.12968522310256958,0.16187748312950134,0.12968522310256958,0.5080474019050598,0.49195265769958496,0.5080474019050598,0.49195265769958496,0.0,0.0,0.0,0.0,0,0,1,1
6,/data/wyb/pneumoniamnist_imagefolder_subset/val/0/00030.png,0,-0.2122325748205185,0.4199013411998749,-0.2122325748205185,0.4199013411998749,0.34702685475349426,0.6529731750488281,0.34702685475349426,0.6529731750488281,0.0,0.0,0.0,0.0,1,1,1,1
7,/data/wyb/pneumoniamnist_imagefolder_subset/val/0/00031.png,0,-0.049179356545209885,0.3023374378681183,-0.049179356545209885,0.3023374378681183,0.413014680147171,0.5869853496551514,0.413014680147171,0.5869853496551514,0.0,0.0,0.0,0.0,1,1,1,1
8,/data/wyb/pneumoniamnist_imagefolder_subset/val/0/00033.png,0,0.10973471403121948,0.1611693799495697,0.10973471403121948,0.1611693799495697,0.4871441721916199,0.5128558278083801,0.4871441721916199,0.5128558278083801,0.0,0.0,0.0,0.0,1,1,1,1
9,/data/wyb/pneumoniamnist_imagefolder_subset/val/0/00035.png,0,-0.0011710711987689137,0.2612368166446686,-0.0011710711987689137,0.2612368166446686,0.43477189540863037,0.5652281045913696,0.43477189540863037,0.5652281045913696,0.0,0.0,0.0,0.0,1,1,1,1
10,/data/wyb/pneumoniamnist_imagefolder_subset/val/0/00037.png,0,-0.06063244119286537,0.3029036819934845,-0.06063244119286537,0.3029036819934845,0.41010385751724243,0.5898962020874023,0.41010385751724243,0.5898962020874023,0.0,0.0,0.0,0.0,1,1,1,1
11,/data/wyb/pneumoniamnist_imagefolder_subset/val/0/00038.png,0,0.04197059944272041,0.219952791929245,0.04197059944272041,0.219952791929245,0.45562154054641724,0.5443784594535828,0.45562154054641724,0.5443784594535828,0.0,0.0,0.0,0.0,1,1,1,1
12,/data/wyb/pneumoniamnist_imagefolder_subset/val/0/00040.png,0,-0.1331280618906021,0.3626084327697754,-0.1331280618906021,0.3626084327697754,0.3785431385040283,0.6214568614959717,0.3785431385040283,0.6214568614959717,0.0,0.0,0.0,0.0,1,1,1,1
13,/data/wyb/pneumoniamnist_imagefolder_subset/val/0/00045.png,0,-0.10052291303873062,0.3340515196323395,-0.10052291303873062,0.3340515196323395,0.39303454756736755,0.6069654822349548,0.39303454756736755,0.6069654822349548,0.0,0.0,0.0,0.0,1,1,1,1
14,/data/wyb/pneumoniamnist_imagefolder_subset/val/0/00046.png,0,0.07999963313341141,0.17954681813716888,0.07999963313341141,0.17954681813716888,0.4751337468624115,0.5248662829399109,0.4751337468624115,0.5248662829399109,0.0,0.0,0.0,0.0,1,1,1,1
15,/data/wyb/pneumoniamnist_imagefolder_subset/val/0/00049.png,0,0.0007327301427721977,0.26639610528945923,0.0007327301427721977,0.26639610528945923,0.433972030878067,0.5660279393196106,0.433972030878067,0.5660279393196106,0.0,0.0,0.0,0.0,1,1,1,1
16,/data/wyb/pneumoniamnist_imagefolder_subset/val/0/00052.png,0,0.07752306759357452,0.19363819062709808,0.07752306759357452,0.19363819062709808,0.4710037410259247,0.5289961695671082,0.4710037410259247,0.5289961695671082,0.0,0.0,0.0,0.0,1,1,1,1
17,/data/wyb/pneumoniamnist_imagefolder_subset/val/0/00055.png,0,-0.2009272277355194,0.41982340812683105,-0.2009272277355194,0.41982340812683105,0.34961074590682983,0.6503892540931702,0.34961074590682983,0.6503892540931702,0.0,0.0,0.0,0.0,1,1,1,1
18,/data/wyb/pneumoniamnist_imagefolder_subset/val/0/00069.png,0,-0.09409062564373016,0.3341924250125885,-0.09409062564373016,0.3341924250125885,0.39453640580177307,0.6054636240005493,0.39453640580177307,0.6054636240005493,0.0,0.0,0.0,0.0,1,1,1,1
19,/data/wyb/pneumoniamnist_imagefolder_subset/val/0/00072.png,0,-0.006835120730102062,0.25939878821372986,-0.006835120730102062,0.25939878821372986,0.4338318705558777,0.5661680698394775,0.4338318705558777,0.5661680698394775,0.0,0.0,0.0,0.0,1,1,1,1
20,/data/wyb/pneumoniamnist_imagefolder_subset/val/0/00074.png,0,-0.06517213582992554,0.3049224019050598,-0.06517213582992554,0.3049224019050598,0.4085181951522827,0.5914818048477173,0.4085181951522827,0.5914818048477173,0.0,0.0,0.0,0.0,1,1,1,1
21,/data/wyb/pneumoniamnist_imagefolder_subset/val/0/00081.png,0,0.02354244515299797,0.24107226729393005,0.02354244515299797,0.24107226729393005,0.44583097100257874,0.5541689991950989,0.44583097100257874,0.5541689991950989,0.0,0.0,0.0,0.0,1,1,1,1
22,/data/wyb/pneumoniamnist_imagefolder_subset/val/0/00083.png,0,-0.058135680854320526,0.3077652156352997,-0.058135680854320526,0.3077652156352997,0.4095318615436554,0.5904681086540222,0.4095318615436554,0.5904681086540222,0.0,0.0,0.0,0.0,1,1,1,1
23,/data/wyb/pneumoniamnist_imagefolder_subset/val/0/00090.png,0,-0.07271572202444077,0.31391969323158264,-0.07271572202444077,0.31391969323158264,0.4045275151729584,0.595472514629364,0.4045275151729584,0.595472514629364,0.0,0.0,0.0,0.0,1,1,1,1
24,/data/wyb/pneumoniamnist_imagefolder_subset/val/0/00093.png,0,-0.22968101501464844,0.4596627950668335,-0.22968101501464844,0.4596627950668335,0.3341790735721588,0.6658209562301636,0.3341790735721588,0.6658209562301636,0.0,0.0,0.0,0.0,1,1,1,1
25,/data/wyb/pneumoniamnist_imagefolder_subset/val/0/00106.png,0,0.014518477022647858,0.24498306214809418,0.014518477022647858,0.24498306214809418,0.44263753294944763,0.5573624968528748,0.44263753294944763,0.5573624968528748,0.0,0.0,0.0,0.0,1,1,1,1
26,/data/wyb/pneumoniamnist_imagefolder_subset/val/0/00114.png,0,-0.23643727600574493,0.4621526598930359,-0.23643727600574493,0.4621526598930359,0.3321249186992645,0.6678750514984131,0.3321249186992645,0.6678750514984131,0.0,0.0,0.0,0.0,1,1,1,1
27,/data/wyb/pneumoniamnist_imagefolder_subset/val/0/00118.png,0,-0.09056254476308823,0.33143535256385803,-0.09056254476308823,0.33143535256385803,0.3960387706756592,0.6039612293243408,0.3960387706756592,0.6039612293243408,0.0,0.0,0.0,0.0,1,1,1,1
28,/data/wyb/pneumoniamnist_imagefolder_subset/val/0/00124.png,0,-0.1834976226091385,0.40038150548934937,-0.1834976226091385,0.40038150548934937,0.3580405116081238,0.6419594883918762,0.3580405116081238,0.6419594883918762,0.0,0.0,0.0,0.0,1,1,1,1
29,/data/wyb/pneumoniamnist_imagefolder_subset/val/0/00130.png,0,0.13936147093772888,0.14551199972629547,0.13936147093772888,0.14551199972629547,0.49846237897872925,0.5015376210212708,0.49846237897872925,0.5015376210212708,0.0,0.0,0.0,0.0,1,1,1,1
30,/data/wyb/pneumoniamnist_imagefolder_subset/val/0/00131.png,0,-0.034456461668014526,0.2837214469909668,-0.034456461668014526,0.2837214469909668,0.42111989855766296,0.5788801312446594,0.42111989855766296,0.5788801312446594,0.0,0.0,0.0,0.0,1,1,1,1
31,/data/wyb/pneumoniamnist_imagefolder_subset/val/0/00132.png,0,-0.0492599755525589,0.2808343172073364,-0.0492599755525589,0.2808343172073364,0.41821765899658203,0.5817822813987732,0.41821765899658203,0.5817822813987732,0.0,0.0,0.0,0.0,1,1,1,1
32,/data/wyb/pneumoniamnist_imagefolder_subset/val/0/00135.png,0,-0.13480424880981445,0.3610811233520508,-0.13480424880981445,0.3610811233520508,0.3785081207752228,0.6214919090270996,0.3785081207752228,0.6214919090270996,0.0,0.0,0.0,0.0,1,1,1,1
33,/data/wyb/pneumoniamnist_imagefolder_subset/val/0/00147.png,0,-0.07528644800186157,0.324735164642334,-0.07528644800186157,0.324735164642334,0.4013071656227112,0.5986928939819336,0.4013071656227112,0.5986928939819336,0.0,0.0,0.0,0.0,1,1,1,1
34,/data/wyb/pneumoniamnist_imagefolder_subset/val/0/00151.png,0,-0.0816739946603775,0.32593488693237305,-0.0816739946603775,0.32593488693237305,0.39948558807373047,0.6005143523216248,0.39948558807373047,0.6005143523216248,0.0,0.0,0.0,0.0,1,1,1,1
35,/data/wyb/pneumoniamnist_imagefolder_subset/val/0/00155.png,0,-0.03607210889458656,0.29457035660743713,-0.03607210889458656,0.29457035660743713,0.4180842936038971,0.5819156765937805,0.4180842936038971,0.5819156765937805,0.0,0.0,0.0,0.0,1,1,1,1
36,/data/wyb/pneumoniamnist_imagefolder_subset/val/0/00157.png,0,-0.1433487832546234,0.3731941878795624,-0.1433487832546234,0.3731941878795624,0.37366098165512085,0.6263390779495239,0.37366098165512085,0.6263390779495239,0.0,0.0,0.0,0.0,1,1,1,1
37,/data/wyb/pneumoniamnist_imagefolder_subset/val/0/00159.png,0,-0.05122470483183861,0.3065803647041321,-0.05122470483183861,0.3065803647041321,0.4114910066127777,0.5885090231895447,0.4114910066127777,0.5885090231895447,0.0,0.0,0.0,0.0,1,1,1,1
38,/data/wyb/pneumoniamnist_imagefolder_subset/val/0/00164.png,0,-0.014506885781884193,0.26595303416252136,-0.014506885781884193,0.26595303416252136,0.43034103512763977,0.5696589946746826,0.43034103512763977,0.5696589946746826,0.0,0.0,0.0,0.0,1,1,1,1
39,/data/wyb/pneumoniamnist_imagefolder_subset/val/0/00168.png,0,-0.09209243208169937,0.3323421776294708,-0.09209243208169937,0.3323421776294708,0.39545607566833496,0.604543924331665,0.39545607566833496,0.604543924331665,0.0,0.0,0.0,0.0,1,1,1,1
40,/data/wyb/pneumoniamnist_imagefolder_subset/val/0/00171.png,0,0.0036521919537335634,0.2532880902290344,0.0036521919537335634,0.2532880902290344,0.43791311979293823,0.5620868802070618,0.43791311979293823,0.5620868802070618,0.0,0.0,0.0,0.0,1,1,1,1
41,/data/wyb/pneumoniamnist_imagefolder_subset/val/0/00173.png,0,-0.07336238026618958,0.32482287287712097,-0.07336238026618958,0.32482287287712097,0.4017484486103058,0.5982515811920166,0.4017484486103058,0.5982515811920166,0.0,0.0,0.0,0.0,1,1,1,1
42,/data/wyb/pneumoniamnist_imagefolder_subset/val/0/00174.png,0,-0.2851249575614929,0.48777246475219727,-0.2851249575614929,0.48777246475219727,0.31585264205932617,0.684147298336029,0.31585264205932617,0.684147298336029,0.0,0.0,0.0,0.0,1,1,1,1
43,/data/wyb/pneumoniamnist_imagefolder_subset/val/0/00177.png,0,0.07290806621313095,0.19416074454784393,0.07290806621313095,0.19416074454784393,0.4697239100933075,0.5302760601043701,0.4697239100933075,0.5302760601043701,0.0,0.0,0.0,0.0,1,1,1,1
44,/data/wyb/pneumoniamnist_imagefolder_subset/val/0/00185.png,0,-0.01227741502225399,0.26809781789779663,-0.01227741502225399,0.26809781789779663,0.4303617775440216,0.569638192653656,0.4303617775440216,0.569638192653656,0.0,0.0,0.0,0.0,1,1,1,1
45,/data/wyb/pneumoniamnist_imagefolder_subset/val/0/00189.png,0,0.07138743996620178,0.19179286062717438,0.07138743996620178,0.19179286062717438,0.46993497014045715,0.5300650596618652,0.46993497014045715,0.5300650596618652,0.0,0.0,0.0,0.0,1,1,1,1
46,/data/wyb/pneumoniamnist_imagefolder_subset/val/0/00190.png,0,-0.3077758550643921,0.5049967765808105,-0.3077758550643921,0.5049967765808105,0.307299941778183,0.6926999688148499,0.307299941778183,0.6926999688148499,0.0,0.0,0.0,0.0,1,1,1,1
47,/data/wyb/pneumoniamnist_imagefolder_subset/val/0/00192.png,0,0.08434388786554337,0.1919681876897812,0.08434388786554337,0.1919681876897812,0.4731198847293854,0.526880145072937,0.4731198847293854,0.526880145072937,0.0,0.0,0.0,0.0,1,1,1,1
48,/data/wyb/pneumoniamnist_imagefolder_subset/val/0/00193.png,0,0.03530053421854973,0.2330426126718521,0.03530053421854973,0.2330426126718521,0.4507249891757965,0.5492751002311707,0.4507249891757965,0.5492751002311707,0.0,0.0,0.0,0.0,1,1,1,1
49,/data/wyb/pneumoniamnist_imagefolder_subset/val/0/00198.png,0,0.1496729701757431,0.13614627718925476,0.1496729701757431,0.13614627718925476,0.503381609916687,0.4966183602809906,0.503381609916687,0.4966183602809906,0.0,0.0,0.0,0.0,0,0,1,1
50,/data/wyb/pneumoniamnist_imagefolder_subset/val/0/00199.png,0,-0.004029879812151194,0.25604501366615295,-0.004029879812151194,0.25604501366615295,0.43534529209136963,0.5646547079086304,0.43534529209136963,0.5646547079086304,0.0,0.0,0.0,0.0,1,1,1,1
51,/data/wyb/pneumoniamnist_imagefolder_subset/val/0/00201.png,0,-0.15152570605278015,0.3827070891857147,-0.15152570605278015,0.3827070891857147,0.36953020095825195,0.630469799041748,0.36953020095825195,0.630469799041748,0.0,0.0,0.0,0.0,1,1,1,1
52,/data/wyb/pneumoniamnist_imagefolder_subset/val/0/00202.png,0,-0.004104339051991701,0.2570912539958954,-0.004104339051991701,0.2570912539958954,0.43506985902786255,0.5649302005767822,0.43506985902786255,0.5649302005767822,0.0,0.0,0.0,0.0,1,1,1,1
53,/data/wyb/pneumoniamnist_imagefolder_subset/val/0/00203.png,0,-0.2527111768722534,0.46571093797683716,-0.2527111768722534,0.46571093797683716,0.32774052023887634,0.6722594499588013,0.32774052023887634,0.6722594499588013,0.0,0.0,0.0,0.0,1,1,1,1
54,/data/wyb/pneumoniamnist_imagefolder_subset/val/0/00204.png,0,-0.08562859892845154,0.32893097400665283,-0.08562859892845154,0.32893097400665283,0.39781931042671204,0.6021806597709656,0.39781931042671204,0.6021806597709656,0.0,0.0,0.0,0.0,1,1,1,1
55,/data/wyb/pneumoniamnist_imagefolder_subset/val/0/00205.png,0,-0.028802979737520218,0.27058839797973633,-0.028802979737520218,0.27058839797973633,0.42570626735687256,0.5742937326431274,0.42570626735687256,0.5742937326431274,0.0,0.0,0.0,0.0,1,1,1,1
56,/data/wyb/pneumoniamnist_imagefolder_subset/val/0/00210.png,0,-0.362560898065567,0.5613409876823425,-0.362560898065567,0.5613409876823425,0.28416353464126587,0.7158365249633789,0.28416353464126587,0.7158365249633789,0.0,0.0,0.0,0.0,1,1,1,1
