index,sample_id,target,logit_0,logit_1,prob_1,argmax_prediction,threshold_prediction,calibrated_argmax_prediction
0,sample_000000,0,0.7295882701873779,-0.36981600522994995,0.2498515099287033,0,0,0
1,sample_000001,0,0.43556129932403564,-0.10791599005460739,0.3673790395259857,0,1,1
2,sample_000002,0,0.7072070837020874,-0.3554149568080902,0.25680869817733765,0,0,0
3,sample_000003,0,0.44968098402023315,-0.12690237164497375,0.3597191572189331,0,1,1
4,sample_000004,0,0.7438313961029053,-0.387565553188324,0.24390339851379395,0,0,0
5,sample_000005,0,0.7642650008201599,-0.39558809995651245,0.2386939823627472,0,0,0
6,sample_000006,0,0.5080169439315796,-0.1900670826435089,0.332237184047699,0,0,0
7,sample_000007,0,0.5637375116348267,-0.21680307388305664,0.3142034113407135,0,0,0
8,sample_000008,0,0.8124347925186157,-0.45496711134910583,0.21970230340957642,0,0,0
9,sample_000009,0,0.6468828916549683,-0.2928500771522522,0.2809542715549469,0,0,0
10,sample_000010,0,0.5843000411987305,-0.2465893030166626,0.3034570515155792,0,0,0
11,sample_000011,0,0.735198438167572,-0.38006532192230225,0.2468908727169037,0,0,0
12,sample_000012,0,0.5460433959960938,-0.21086303889751434,0.3193182647228241,0,0,0
13,sample_000013,0,0.570724368095398,-0.23576445877552032,0.30863919854164124,0,0,0
14,sample_000014,0,0.8026781678199768,-0.4529595673084259,0.22172574698925018,0,0,0
15,sample_000015,0,0.5840520262718201,-0.2288905680179596,0.3072637915611267,0,0,0
16,sample_000016,0,0.7613048553466797,-0.3979998230934143,0.23879365622997284,0,0,0
17,sample_000017,0,0.4612790048122406,-0.13632571697235107,0.3548918664455414,0,0,0
18,sample_000018,0,0.5657472014427185,-0.22499039769172668,0.3120103180408478,0,0,0
19,sample_000019,0,0.6758931279182434,-0.32749128341674805,0.26827654242515564,0,0,0
20,sample_000020,0,0.6052122116088867,-0.2653706967830658,0.2951330244541168,0,0,0
21,sample_000021,0,0.6646195650100708,-0.30936703085899353,0.2740866243839264,0,0,0
22,sample_000022,0,0.5603646039962769,-0.215553879737854,0.31520017981529236,0,0,0
23,sample_000023,0,0.6149422526359558,-0.27287909388542175,0.291559636592865,0,0,0
24,sample_000024,0,0.1640489250421524,0.13163287937641144,0.49189668893814087,0,1,1
25,sample_000025,0,0.687466025352478,-0.3336687386035919,0.2648064196109772,0,0,0
26,sample_000026,0,0.26137492060661316,0.04751855134963989,0.4467387795448303,0,1,1
27,sample_000027,0,0.5615094900131226,-0.22188781201839447,0.31358814239501953,0,0,0
28,sample_000028,0,0.49346408247947693,-0.1708928495645523,0.33976155519485474,0,0,0
29,sample_000029,0,0.7422740459442139,-0.3790346086025238,0.24576862156391144,0,0,0
30,sample_000030,0,0.5987491011619568,-0.2575453817844391,0.2981140911579132,0,0,0
31,sample_000031,0,0.6770590543746948,-0.3476715385913849,0.26410695910453796,0,0,0
32,sample_000032,0,0.5850895643234253,-0.2501615285873413,0.30253592133522034,0,0,0
33,sample_000033,0,0.48938217759132385,-0.15042364597320557,0.3452904522418976,0,0,0
34,sample_000034,0,0.530188262462616,-0.19159896671772003,0.3269995450973511,0,0,0
35,sample_000035,0,0.5174591541290283,-0.17162516713142395,0.3342368006706238,0,0,0
36,sample_000036,0,0.5510581731796265,-0.21425853669643402,0.3174930512905121,0,0,0
37,sample_000037,0,0.5161900520324707,-0.17225998640060425,0.3343779146671295,0,0,0
38,sample_000038,0,0.6526632905006409,-0.3039996325969696,0.27754682302474976,0,0,0
39,sample_000039,0,0.5322182774543762,-0.19579093158245087,0.325631707906723,0,0,0
40,sample_000040,0,0.6606580018997192,-0.3113304674625397,0.2744843363761902,0,0,0
41,sample_000041,0,0.498321533203125,-0.15624941885471344,0.34196022152900696,0,0,0
42,sample_000042,0,0.36445438861846924,-0.06122882664203644,0.3951576054096222,0,1,1
43,sample_000043,0,0.7731072306632996,-0.41531097888946533,0.23354196548461914,0,0,0
44,sample_000044,0,0.6111809015274048,-0.26240694522857666,0.29450827836990356,0,0,0
