sample_index,sample_path,target_index,target_label,secure_argmax_class_index,secure_argmax_label,secure_threshold_class_index,secure_threshold_label,prob_class_0,prob_class_1,confidence_margin
0,/data/wyb/pneumoniamnist_imagefolder_subset/val/0/00003.png,0,class_0,0,class_0,0,class_0,0.6206357479095459,0.37936434149742126,0.24127140641212463
1,/data/wyb/pneumoniamnist_imagefolder_subset/val/0/00007.png,0,class_0,1,class_1,0,class_0,0.41522839665412903,0.5847716927528381,0.1695432960987091
2,/data/wyb/pneumoniamnist_imagefolder_subset/val/0/00011.png,0,class_0,0,class_0,0,class_0,0.6582819223403931,0.34171804785728455,0.3165638744831085
3,/data/wyb/pneumoniamnist_imagefolder_subset/val/0/00014.png,0,class_0,0,class_0,0,class_0,0.5885485410690308,0.41145142912864685,0.1770971119403839
4,/data/wyb/pneumoniamnist_imagefolder_subset/val/0/00022.png,0,class_0,0,class_0,0,class_0,0.661017656326294,0.33898237347602844,0.3220352828502655
5,/data/wyb/pneumoniamnist_imagefolder_subset/val/0/00028.png,0,class_0,0,class_0,0,class_0,0.6359728574752808,0.36402708292007446,0.2719457745552063
6,/data/wyb/pneumoniamnist_imagefolder_subset/val/0/00030.png,0,class_0,0,class_0,0,class_0,0.6234862208366394,0.3765137791633606,0.2469724416732788
7,/data/wyb/pneumoniamnist_imagefolder_subset/val/0/00031.png,0,class_0,1,class_1,0,class_0,0.47635307908058167,0.5236468315124512,0.04729375243186951
8,/data/wyb/pneumoniamnist_imagefolder_subset/val/0/00033.png,0,class_0,0,class_0,0,class_0,0.6456941366195679,0.35430586338043213,0.29138827323913574
9,/data/wyb/pneumoniamnist_imagefolder_subset/val/0/00035.png,0,class_0,0,class_0,0,class_0,0.6160515546798706,0.383948415517807,0.2321031391620636
10,/data/wyb/pneumoniamnist_imagefolder_subset/val/0/00037.png,0,class_0,0,class_0,0,class_0,0.6361824870109558,0.3638174831867218,0.272365003824234
11,/data/wyb/pneumoniamnist_imagefolder_subset/val/0/00038.png,0,class_0,0,class_0,0,class_0,0.6550439596176147,0.34495609998703003,0.3100878596305847
12,/data/wyb/pneumoniamnist_imagefolder_subset/val/0/00040.png,0,class_0,0,class_0,0,class_0,0.6131037473678589,0.3868962526321411,0.22620749473571777
13,/data/wyb/pneumoniamnist_imagefolder_subset/val/0/00045.png,0,class_0,0,class_0,0,class_0,0.6125509738922119,0.3874490261077881,0.22510194778442383
14,/data/wyb/pneumoniamnist_imagefolder_subset/val/0/00046.png,0,class_0,0,class_0,0,class_0,0.6661103963851929,0.33388960361480713,0.33222079277038574
15,/data/wyb/pneumoniamnist_imagefolder_subset/val/0/00049.png,0,class_0,0,class_0,0,class_0,0.5040513277053833,0.4959486722946167,0.008102655410766602
16,/data/wyb/pneumoniamnist_imagefolder_subset/val/0/00052.png,0,class_0,0,class_0,0,class_0,0.6406581997871399,0.3593418300151825,0.2813163697719574
17,/data/wyb/pneumoniamnist_imagefolder_subset/val/0/00055.png,0,class_0,1,class_1,1,class_1,0.390331894159317,0.6096681356430054,0.21933624148368835
